STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAN,Canada,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,97.67387780428948,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAF,Central African Republic,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,3.243382479209087,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TCD,Chad,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,40.44057988752824,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,68.82735405468793,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHN,China,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,92.53398537868163,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COL,Colombia,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,63.72467605918338,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COM,Comoros,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,3.723992221751458,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COG,"Congo, Rep.",ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,14.717671729517086,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CRI,Costa Rica,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,67.45223272636754,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CIV,Cote d'Ivoire,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_100,0-100 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,67.82323567936865,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
